timestamp,tool_id,tool_type,carbide_grade,coating,tool_diameter_mm,number_of_flutes,machine_id,shift,workpiece_material,workpiece_hardness_HB,spindle_speed_rpm,feed_rate_mm_min,cutting_speed_m_min,feed_per_tooth_mm,axial_depth_mm,radial_depth_mm,cutting_time_min,parts_produced,material_removal_rate_cm3_min,temperature_rise_C,vibration_mm_s,power_consumption_kW,cutting_force_increase_%,surface_roughness_Ra_um,flank_wear_VB_mm,crater_wear_KT_mm,dimensional_deviation_mm,chip_thickness_ratio,chip_color,edge_chipping,coolant_concentration_%,coolant_flow_L_min,coolant_pressure_bar,tool_condition,tool_condition_desc
2025-08-27 15:11:59,CB003,Carbide,P30,AlCrN,12,3,HAAS_VF4,Afternoon,Steel_C45,200,7522.0,2428.0,283.6,0.108,2.67,7.01,40.0,16,45.52,201.5,0.734,1.17,7.1,0.91,0.092,0.013,0.0142,1.69,Silver,0,9.5,12.5,5.0,1,Acceptable
2025-08-27 16:00:59,CB017,Carbide,P30,AlCrN,6,4,DMG_MORI_NLX2500,Night,Steel_C45,200,13325.2,4588.9,251.2,0.086,1.57,3.14,31.57,12,22.61,216.9,0.684,0.37,5.6,1.03,0.086,0.0,0.0136,1.65,Silver,0,6.9,14.9,5.0,1,Acceptable
2025-08-27 18:12:59,CB020,Carbide,P20,TiN,6,4,DOOSAN_DNM_5700,Night,Cast_Iron_GG25,180,9864.0,3824.7,185.9,0.097,1.93,4.05,22.06,8,29.91,174.0,0.505,0.57,3.1,0.68,0.03,0.0,0.008,1.57,Silver,0,9.3,14.6,5.0,0,Good
2025-08-27 19:34:59,CB012,Carbide,P20,Uncoated,6,2,HAAS_VF4,Morning,Steel_C45,200,11421.2,1973.6,215.3,0.086,1.46,3.72,23.92,9,10.69,210.3,0.683,0.09,5.7,1.08,0.029,0.0,0.0079,1.61,Silver,0,7.5,18.9,20.1,0,Good
2025-08-27 20:14:59,CB002,Carbide,P20,TiCN,12,3,DMG_MORI_NLX2500,Afternoon,Steel_42CrMo4,280,5599.9,1417.3,211.1,0.084,2.7,8.27,23.64,9,31.7,205.9,0.645,1.17,5.8,0.94,0.062,0.0,0.0112,1.65,Silver,0,6.2,21.7,30.9,0,Good
2025-08-27 20:15:59,CB012,Carbide,M20,TiN,6,2,MAZAK_INTEGREX_i200,Morning,Cast_Iron_GG25,180,8595.9,2472.6,162.0,0.144,1.43,3.47,8.72,3,12.27,148.1,0.356,0.36,1.2,0.52,0.02,0.0,0.007,1.53,Silver,0,9.2,19.7,48.6,0,Good
2025-08-27 20:52:59,CB010,Carbide,K10,Uncoated,10,4,HAAS_VF4,Night,Cast_Iron_GG25,180,6141.1,3391.5,192.9,0.138,2.97,5.18,91.06,36,52.21,220.0,1.364,1.4,15.2,1.78,0.149,0.0,0.0199,1.8,Silver,0,8.5,21.7,15.7,1,Acceptable
2025-08-27 21:59:59,CB010,Carbide,M20,TiN,16,5,OKUMA_GENOS_L400,Afternoon,Cast_Iron_GG25,180,4018.1,2599.7,202.0,0.129,4.54,8.35,118.86,47,98.44,237.1,1.344,3.43,16.8,1.73,0.183,0.002,0.0233,1.9,Silver,0,8.9,19.4,29.3,2,Replace
2025-08-27 22:54:59,CB007,Carbide,K10,TiAlN,6,2,OKUMA_GENOS_L400,Morning,Cast_Iron_GG25,180,10773.4,2529.2,203.1,0.117,1.74,3.1,109.76,43,13.69,194.4,0.917,0.46,12.8,1.6,0.178,0.002,0.0228,1.87,Silver,0,8.0,12.9,34.2,2,Replace
2025-08-27 23:05:59,CB015,Carbide,K10,TiAlN,20,6,DMG_MORI_NLX2500,Afternoon,Steel_42CrMo4,280,3133.5,1759.6,196.9,0.094,3.67,11.48,16.84,6,74.13,181.8,0.538,2.69,3.6,0.71,0.037,0.0,0.0087,1.6,Silver,0,6.7,19.4,46.7,0,Good
2025-08-27 23:08:59,CB019,Carbide,M20,AlCrN,16,6,MAZAK_INTEGREX_i200,Morning,Steel_C45,200,5375.1,3656.2,270.2,0.113,3.0,10.55,12.87,5,115.54,225.7,0.45,3.73,2.3,0.71,0.012,0.002,0.0062,1.56,Silver,1,8.3,21.9,14.4,0,Good
2025-08-27 23:41:00,CB001,Carbide,P20,TiAlN,6,4,DOOSAN_DNM_5700,Afternoon,Steel_42CrMo4,280,9426.7,4064.1,177.7,0.108,1.59,3.28,1.03,0,21.17,189.2,0.403,0.4,0.2,0.42,-0.011,0.0,0.0039,1.51,Silver,0,8.8,24.2,5.0,0,Good
2025-08-28 01:17:59,CB011,Carbide,P20,TiN,12,3,OKUMA_GENOS_L400,Afternoon,Steel_C45,200,6200.5,1691.1,233.8,0.091,3.29,7.58,21.46,8,42.2,219.4,0.534,1.34,4.3,0.68,0.057,0.0,0.0107,1.6,Silver,0,8.6,15.0,5.0,0,Good
2025-08-28 02:01:00,CB008,Carbide,P10,TiAlN,20,6,MAZAK_INTEGREX_i200,Night,Steel_C45,200,3193.2,2178.1,200.6,0.114,5.13,10.87,13.06,5,121.5,211.5,0.416,4.14,2.2,0.73,0.025,0.0,0.0075,1.56,Silver,0,7.6,15.0,5.0,0,Good
2025-08-28 03:03:59,CB014,Carbide,M20,TiN,16,6,MAZAK_INTEGREX_i200,Morning,Steel_42CrMo4,280,4749.1,2341.5,238.7,0.082,3.22,10.62,1.21,0,80.16,187.2,0.327,2.55,0.3,0.55,-0.014,0.0,0.0036,1.51,Silver,0,6.2,17.0,29.1,0,Good
2025-08-28 03:34:59,CB017,Carbide,P20,TiAlN,6,3,DOOSAN_DNM_5700,Night,Steel_42CrMo4,280,8974.6,2358.7,169.2,0.088,1.55,3.01,0.68,0,10.99,148.7,0.294,0.43,0.1,0.32,-0.015,0.0,0.0035,1.5,Silver,0,7.7,18.0,49.8,0,Good
2025-08-28 03:34:59,CB005,Carbide,K10,AlCrN,8,4,DOOSAN_DNM_5700,Afternoon,Steel_C45,200,10685.6,4996.3,268.6,0.117,1.88,4.11,22.62,9,38.55,177.8,0.474,0.9,4.0,0.87,0.044,0.004,0.0094,1.61,Silver,0,7.5,12.0,5.0,0,Good
2025-08-28 04:18:59,CB011,Carbide,P30,TiN,12,2,MAZAK_INTEGREX_i200,Morning,Steel_16MnCr5,220,6525.9,1469.0,246.0,0.113,3.02,6.29,11.29,4,27.91,190.7,0.411,1.23,2.4,0.52,0.017,0.001,0.0067,1.56,Silver,0,6.9,19.4,13.0,0,Good
2025-08-28 08:20:59,CB018,Carbide,K10,TiAlN,20,5,DOOSAN_DNM_5700,Afternoon,Steel_C45,200,4301.2,2087.9,270.3,0.097,3.71,13.17,0.77,0,101.97,216.3,0.312,3.37,0.1,0.42,-0.001,0.0,0.0049,1.5,Silver,0,8.2,17.6,31.4,0,Good
2025-08-28 08:43:00,CB003,Carbide,P10,AlCrN,10,2,DOOSAN_DNM_5700,Night,Steel_C45,200,8846.5,1828.4,277.9,0.103,2.57,6.55,23.69,9,30.83,172.3,0.533,0.71,4.2,0.82,0.059,0.006,0.0109,1.61,Silver,0,6.9,16.8,5.0,0,Good
2025-08-28 08:56:59,CB011,Carbide,M20,TiAlN,12,3,HAAS_VF4,Afternoon,Steel_42CrMo4,280,6337.0,2114.7,238.9,0.111,3.04,7.3,12.24,4,46.94,242.2,0.436,1.6,2.6,0.5,0.032,0.004,0.0082,1.58,Silver,0,6.0,24.3,29.3,0,Good
2025-08-28 09:00:00,CB020,Carbide,M20,TiN,12,4,MAZAK_INTEGREX_i200,Afternoon,Aluminum_7075,150,11836.2,7724.8,446.2,0.163,4.9,6.99,236.19,94,264.78,308.3,1.286,8.1,16.7,1.63,0.209,0.036,0.0259,1.89,Straw,0,9.0,11.9,49.4,2,Replace
2025-08-28 09:05:59,CB008,Carbide,P20,TiCN,16,6,DOOSAN_DNM_5700,Night,Steel_42CrMo4,280,4391.9,2145.3,220.8,0.081,2.96,8.21,4.59,1,52.05,201.0,0.446,1.75,1.1,0.31,0.031,0.001,0.0081,1.53,Silver,0,6.1,23.8,23.3,0,Good
2025-08-28 09:37:00,CB020,Carbide,K10,AlCrN,6,4,HAAS_VF4,Morning,Cast_Iron_GG25,180,8843.1,3897.4,166.7,0.11,1.53,3.96,178.87,71,23.57,175.6,1.636,0.85,22.4,2.19,0.264,0.0,0.0314,2.1,Silver,0,7.2,23.8,5.0,2,Replace
2025-08-28 10:39:59,CB016,Carbide,P10,Uncoated,12,3,HAAS_VF4,Morning,Steel_42CrMo4,280,5398.2,1690.3,203.5,0.104,2.62,6.37,24.53,9,28.23,216.8,0.773,0.55,7.6,1.27,0.109,0.0,0.0159,1.65,Silver,0,9.8,17.2,27.1,1,Acceptable
2025-08-28 10:58:00,CB006,Carbide,P10,TiN,10,4,HAAS_VF4,Night,Steel_42CrMo4,280,7651.3,3199.3,240.4,0.105,2.18,5.82,8.19,3,40.62,203.0,0.413,1.72,2.1,0.51,0.022,0.003,0.0072,1.55,Silver,0,7.3,16.5,5.0,0,Good
2025-08-28 11:23:00,CB013,Carbide,K10,TiCN,20,6,DOOSAN_DNM_5700,Night,Steel_16MnCr5,220,3265.5,1831.6,205.2,0.093,4.88,13.9,32.64,13,124.32,203.7,0.756,4.14,6.6,0.89,0.067,0.0,0.0117,1.66,Silver,0,8.1,19.2,5.0,1,Acceptable
2025-08-28 11:27:59,CB007,Carbide,P30,TiCN,6,2,MAZAK_INTEGREX_i200,Night,Steel_C45,200,10624.5,2082.8,200.3,0.098,1.41,3.35,51.44,20,9.81,192.7,0.824,0.79,9.8,1.37,0.145,0.0,0.0195,1.74,Silver,0,6.9,20.6,28.2,1,Acceptable
2025-08-28 11:32:00,CB018,Carbide,P20,TiN,8,3,DOOSAN_DNM_5700,Afternoon,Cast_Iron_GG25,180,7213.8,2246.6,181.3,0.104,2.26,4.76,16.67,6,24.18,193.7,0.422,0.79,2.4,0.59,0.009,0.0,0.0059,1.56,Silver,0,8.0,11.1,5.0,0,Good
2025-08-28 11:47:59,CB020,Carbide,P20,TiAlN,12,2,MAZAK_INTEGREX_i200,Morning,Steel_C45,200,7566.1,1579.9,285.2,0.104,2.29,8.3,20.01,8,30.0,216.6,0.503,1.1,3.3,0.61,0.047,0.007,0.0097,1.6,Silver,0,9.9,19.8,41.2,0,Good
2025-08-28 11:50:00,CB006,Carbide,P20,AlCrN,8,2,DOOSAN_DNM_5700,Night,Cast_Iron_GG25,180,9483.0,2152.6,238.3,0.113,2.41,4.14,47.89,19,21.5,187.5,0.666,0.57,6.0,0.78,0.043,0.012,0.0093,1.66,Silver,0,9.7,11.4,12.0,1,Acceptable
2025-08-28 11:51:59,CB014,Carbide,M20,TiN,8,3,DMG_MORI_NLX2500,Morning,Steel_42CrMo4,280,8270.8,2846.0,207.9,0.115,2.19,4.11,19.83,7,25.58,219.6,0.632,0.78,5.2,0.81,0.027,0.0,0.0077,1.62,Silver,0,9.8,21.3,5.0,0,Good
2025-08-28 12:16:00,CB005,Carbide,M20,TiN,12,3,OKUMA_GENOS_L400,Afternoon,Steel_C45,200,5570.9,1982.2,210.0,0.119,2.85,6.06,17.86,7,34.26,212.2,0.524,1.17,3.6,0.62,0.036,0.0,0.0086,1.59,Silver,0,6.3,11.7,29.4,0,Good
2025-08-28 13:27:59,CB005,Carbide,P20,TiAlN,6,4,OKUMA_GENOS_L400,Afternoon,Cast_Iron_GG25,180,10977.2,5644.8,206.9,0.129,1.3,3.61,12.39,4,26.51,187.0,0.409,0.4,1.4,0.66,0.044,0.001,0.0094,1.54,Silver,0,9.3,22.9,17.8,0,Good
2025-08-28 13:33:59,CB004,Carbide,K10,TiCN,12,2,DMG_MORI_NLX2500,Morning,Steel_C45,200,6920.6,1538.0,260.9,0.111,3.1,8.34,108.95,43,39.71,203.1,1.565,1.22,20.8,2.12,0.248,0.011,0.0298,2.02,Silver,0,7.4,16.1,5.0,2,Replace
2025-08-28 13:53:59,CB015,Carbide,M20,TiCN,12,4,DMG_MORI_NLX2500,Night,Steel_C45,200,6228.7,2018.4,234.8,0.081,2.54,7.12,142.08,56,36.48,191.0,1.915,1.13,27.1,2.66,0.35,0.0,0.04,2.18,Silver,0,8.7,20.9,5.0,2,Replace
2025-08-28 15:03:00,CB014,Carbide,P20,TiN,20,4,MAZAK_INTEGREX_i200,Night,Steel_16MnCr5,220,3158.7,1062.1,198.5,0.084,5.13,10.71,75.18,30,58.43,237.5,1.238,2.01,16.1,1.73,0.201,0.0,0.0251,1.88,Silver,0,6.5,16.9,38.9,2,Replace
2025-08-28 15:40:59,CB007,Carbide,P30,AlCrN,6,3,DMG_MORI_NLX2500,Night,Steel_42CrMo4,280,12849.0,3150.2,242.2,0.082,1.08,3.37,29.27,11,11.44,203.3,0.793,0.63,6.8,0.82,0.042,0.012,0.0092,1.68,Silver,0,7.1,20.3,25.2,1,Acceptable
2025-08-28 16:16:59,CB014,Carbide,P30,TiAlN,10,4,OKUMA_GENOS_L400,Morning,Steel_16MnCr5,220,7329.2,3061.6,230.3,0.104,2.73,6.75,194.43,77,56.29,203.6,2.366,2.06,34.4,3.14,0.35,0.0,0.04,2.48,Silver,0,9.2,10.0,26.1,2,Replace
2025-08-28 16:41:59,CB013,Carbide,K10,TiAlN,12,2,OKUMA_GENOS_L400,Night,Steel_C45,200,7391.6,1551.1,278.7,0.105,2.73,7.01,2.67,1,29.64,198.4,0.331,0.68,0.4,0.54,-0.005,0.001,0.0045,1.51,Silver,0,7.7,12.2,40.3,0,Good
2025-08-28 18:12:59,CB020,Carbide,P20,TiN,8,2,MAZAK_INTEGREX_i200,Morning,Cast_Iron_GG25,180,6767.9,1574.5,170.1,0.116,2.63,4.7,174.36,69,19.44,208.3,1.72,0.82,24.7,2.31,0.265,0.0,0.0315,2.08,Silver,0,10.0,19.4,20.3,2,Replace
2025-08-28 19:37:59,CB003,Carbide,P30,TiN,20,5,HAAS_VF4,Night,Steel_42CrMo4,280,3812.9,1956.8,239.6,0.103,4.17,11.2,32.19,12,91.41,167.0,0.763,3.25,8.4,0.81,0.101,0.012,0.0151,1.7,Silver,0,7.3,11.6,46.4,1,Acceptable
2025-08-28 19:37:59,CB004,Carbide,K10,TiAlN,6,2,DOOSAN_DNM_5700,Afternoon,Steel_C45,200,15501.0,2894.8,292.2,0.093,1.58,3.52,68.85,27,16.08,182.4,0.996,0.59,11.5,1.5,0.136,0.028,0.0186,1.83,Silver,0,9.7,11.8,39.9,1,Acceptable
2025-08-28 19:46:59,CB011,Carbide,P30,TiCN,16,5,DMG_MORI_NLX2500,Afternoon,Steel_16MnCr5,220,3850.2,2226.2,193.5,0.116,3.47,8.54,54.45,21,65.95,194.8,0.974,2.34,11.0,1.32,0.169,0.0,0.0219,1.78,Silver,0,9.4,12.9,5.0,1,Acceptable
2025-08-28 21:27:59,CB006,Carbide,M20,AlCrN,8,3,OKUMA_GENOS_L400,Afternoon,Steel_42CrMo4,280,8037.7,1969.4,202.0,0.082,1.99,4.61,52.74,21,18.05,195.9,1.041,0.88,12.2,1.28,0.169,0.0,0.0219,1.83,Silver,0,7.3,19.2,33.8,1,Acceptable
2025-08-28 21:56:59,CB010,Carbide,P20,TiCN,12,3,DOOSAN_DNM_5700,Morning,Steel_16MnCr5,220,7058.4,2434.5,266.1,0.115,2.59,7.9,86.09,34,49.72,207.5,1.343,1.53,17.4,1.9,0.228,0.023,0.0278,1.93,Silver,1,7.5,17.0,44.4,2,Replace
2025-08-28 22:25:59,CB020,Carbide,M20,TiN,6,4,MAZAK_INTEGREX_i200,Morning,Steel_C45,200,12471.5,4551.8,235.1,0.091,1.37,3.39,31.46,12,21.18,165.7,0.69,0.6,6.4,0.97,0.087,0.0,0.0137,1.65,Silver,0,8.8,14.3,5.0,0,Good
2025-08-28 23:13:59,CB001,Carbide,P30,TiCN,16,5,MAZAK_INTEGREX_i200,Afternoon,Cast_Iron_GG25,180,4613.5,2836.3,231.9,0.123,4.1,9.93,17.54,7,115.44,224.1,0.444,3.9,2.3,0.78,0.013,0.004,0.0063,1.56,Silver,0,8.1,11.5,5.0,0,Good
2025-08-28 23:30:59,CB011,Carbide,P20,Uncoated,6,2,OKUMA_GENOS_L400,Afternoon,Steel_16MnCr5,220,10907.4,1960.0,205.6,0.09,1.45,4.06,12.78,5,11.54,252.4,0.507,0.56,3.2,0.77,0.007,0.0,0.0057,1.56,Silver,0,7.7,18.6,35.0,0,Good
2025-08-29 00:15:59,CB001,Carbide,K10,AlCrN,20,4,MAZAK_INTEGREX_i200,Afternoon,Steel_42CrMo4,280,3673.9,1586.3,230.8,0.108,4.1,11.65,18.85,7,75.73,220.5,0.549,2.87,4.4,0.89,0.082,0.005,0.0132,1.62,Silver,0,7.3,21.7,21.5,0,Good
2025-08-29 00:57:00,CB005,Carbide,P10,AlCrN,20,4,DOOSAN_DNM_5700,Night,Cast_Iron_GG25,180,3389.8,1654.6,213.0,0.122,6.54,12.39,113.29,45,134.11,238.3,1.191,4.24,14.2,1.44,0.159,0.01,0.0209,1.88,Silver,0,8.8,17.6,5.0,2,Replace
2025-08-29 01:52:59,CB002,Carbide,P30,TiAlN,10,2,DOOSAN_DNM_5700,Night,Steel_C45,200,8452.5,1619.9,265.5,0.096,2.66,5.92,2.35,0,25.54,186.8,0.371,0.87,0.4,0.37,-0.016,0.0,0.0034,1.51,Silver,0,7.1,13.7,20.5,0,Good
2025-08-29 02:08:59,CB004,Carbide,P20,TiAlN,20,5,DMG_MORI_NLX2500,Afternoon,Steel_C45,200,3945.5,2044.4,247.9,0.104,4.79,11.64,5.16,2,114.13,206.4,0.278,3.65,0.9,0.47,0.022,0.0,0.0072,1.52,Silver,0,7.0,11.9,15.4,0,Good
2025-08-29 02:16:59,CB020,Carbide,P10,TiN,12,4,HAAS_VF4,Night,Steel_C45,200,7605.5,3432.8,286.7,0.113,2.72,6.38,8.07,3,59.55,200.8,0.37,1.9,1.6,0.46,0.017,0.003,0.0067,1.54,Silver,0,7.2,17.6,5.0,0,Good
2025-08-29 02:28:59,CB019,Carbide,P20,TiAlN,20,6,HAAS_VF4,Afternoon,Steel_C45,200,3890.7,2094.6,244.5,0.09,5.09,10.24,8.8,3,109.28,211.7,0.509,3.55,1.5,0.38,0.006,0.0,0.0056,1.54,Silver,0,7.2,16.5,40.2,0,Good
2025-08-29 02:47:59,CB005,Carbide,K10,TiN,6,2,DMG_MORI_NLX2500,Night,Cast_Iron_GG25,180,12094.0,3055.4,228.0,0.126,1.85,3.69,3.0,1,20.83,181.3,0.305,0.57,0.4,0.36,0.011,0.001,0.0061,1.51,Silver,0,9.1,13.2,5.0,0,Good
2025-08-29 03:26:59,CB007,Carbide,M20,AlCrN,20,4,MAZAK_INTEGREX_i200,Afternoon,Steel_C45,200,4703.3,2226.5,295.5,0.118,5.48,12.26,18.97,7,149.73,274.4,0.417,4.51,3.4,0.7,0.092,0.008,0.0142,1.59,Silver,0,10.0,19.5,31.6,0,Good
2025-08-29 03:47:59,CB006,Carbide,P30,TiAlN,16,4,OKUMA_GENOS_L400,Afternoon,Steel_42CrMo4,280,3912.3,1676.3,196.7,0.107,3.6,10.0,50.78,20,60.45,199.4,0.944,1.82,11.0,1.33,0.115,0.0,0.0165,1.81,Silver,1,6.4,21.3,5.0,1,Acceptable
2025-08-29 05:20:59,CB014,Carbide,P20,TiN,8,2,MAZAK_INTEGREX_i200,Morning,Steel_42CrMo4,280,8721.6,1662.4,219.2,0.095,1.95,4.8,43.93,17,15.52,198.9,0.95,0.42,11.5,1.4,0.151,0.005,0.0201,1.77,Silver,0,8.3,13.5,28.4,1,Acceptable
2025-08-29 05:31:00,CB019,Carbide,P30,TiN,6,2,OKUMA_GENOS_L400,Night,Steel_16MnCr5,220,12381.8,2263.2,233.4,0.091,1.08,3.54,12.17,4,8.67,181.0,0.475,0.38,2.6,0.64,0.021,0.0,0.0071,1.56,Silver,0,8.7,22.5,31.4,0,Good
